Region,Cases,Cases/100k pop.,Deaths,Intensive care
Blekinge,12393,7780.56323242188,128,55
Dalarna,26221,9110.9189453125,338,182
Gotland,3898,6510.75463867188,51,30
Gävleborg,35236,12258.1645507813,552,240
Halland,39888,11878.5471191406,315,171
Jämtland Härjedalen,12176,9292.9482421875,120,65
Jönköping,42047,11538.3125,552,327
Kalmar,23437,9533.24462890625,243,103
Kronoberg,21427,10611.65234375,312,118
Norrbotten,23913,9573.92456054688,261,191
Skåne,152297,11004.21484375,1716,618
Stockholm,249494,10462.046875,4294,2099
Sörmland,25138,8415.75317382813,453,361
Uppsala,39437,10211.416015625,533,397
Värmland,18265,6460.38647460938,209,109
Västerbotten,22641,8304.35107421875,180,147
Västernorrland,26188,10694.505859375,467,172
Västmanland,26900,9730.3251953125,345,115
Västra Götaland,184956,10685.1533203125,2342,1331
Örebro,31235,10231.7153320313,334,218
Östergötland,41154,8820.48291015625,621,331
